reactions,genes,size,fva_min,fva_max,target_flux,biomass_flux,yield,fitness
"('SUCDi', 'G6PDH2r')","(('b1852', 'b0721'), ('b1852', 'b0723'), ('b0723', 'b1852'), ('b1852', 'b0724'), ('b0724', 'b1852'))",2,9.083537390134804,10.715737390134377,10.621956959731737,0.6170374076565655,1.0621956959731738,0.6554140481408999
"('SUCDi', 'GND')","(('b2029', 'b0722'), ('b2029', 'b0721'))",2,9.083537390134804,10.715737390134377,10.621956959731737,0.6170374076565655,1.0621956959731738,0.6554140481408999
"('SUCDi', 'PGL')","(('b0767', 'b0721'),)",2,9.083537390134804,10.715737390134377,10.621956959731737,0.6170374076565655,1.0621956959731738,0.6554140481408999
